Cluster,R,R/R2500,Z,log(SFR),SFR,R2500,Mass
A3571,,,,-0.47,0.338844156,,2.59
,4.09563971277804,0.00789140599764555,1.15822,,,519,
,10.1914755643547,0.0196367544592576,0.994282,,,519,
,13.9061255364092,0.0267940761780524,0.894313,,,519,
,17.2278798383425,0.0331943734842823,0.438329,,,519,
,20.2817507288296,0.0390785177819453,0.392213,,,519,
,23.174891572449,0.0446529702744682,0.665493,,,519,
,25.706389810616,0.0495306162054258,0.360652,,,519,
,28.4187093515091,0.0547566654171659,0.591453,,,519,
,33.3008845251168,0.0641635539982983,0.601237,,,519,
,46.320018321404,0.0892485902146513,0.549368,,,519,
,75.6130693630501,0.145689921701445,0.495016,,,519,
A2319,,,,,,,3.97
,6.729971167,0.0104811069326668,0.326327,,,642.105,
,16.28653022,0.0253642787706061,0.509024,,,642.105,
,21.23305903,0.033067892369628,0.205541,,,642.105,
,25.17009216,0.039199339921041,0.491168,,,642.105,
,29.03141312,0.0452128750282275,0.836146,,,642.105,
,35.16409935,0.0547637837269605,0.419712,,,642.105,
,51.51792928,0.0802328735642924,0.374433,,,642.105,
,88.31404663,0.13753832570997,0.343778,,,642.105,
Ophiuchus,,,,,,,0.85
,0.437579501,0.00148836564965986,0.199844,,,294,
,1.093948754,0.0037209141292517,0.74223,,,294,
,1.64092313,0.00558137119047619,1.02291,,,294,
,2.215246226,0.00753485110884354,0.95557,,,294,
,2.8305924,0.00962786530612245,0.939766,,,294,
,3.753611661,0.0127673866020408,1.07549,,,294,
,5.138140552,0.0174766685442177,0.950396,,,294,
,7.214933889,0.0245405914591837,0.82431,,,294,
,10.33012389,0.0351364758163265,0.667522,,,294,
,15.0029089,0.0510303023809524,0.628287,,,294,
,22.01208641,0.0748710422108844,0.538549,,,294,
,32.52585268,0.110632151972789,0.478892,,,294,
,45.1423722,0.153545483673469,0.38219,,,294,
A3667,,,,,,,1.1
,4.190805954,0.0102715832205882,0.530424,,,408,
,10.09603253,0.0247451777696078,0.328973,,,408,
,13.23913699,0.0324488651715686,0.464596,,,408,
,15.9536363,0.039102049754902,0.154869,,,408,
,18.52526723,0.0454050667401961,0.337164,,,408,
,20.77544429,0.0509202065931373,0.483569,,,408,
,23.18634828,0.056829285,0.518431,,,408,
,26.80270427,0.065692902622549,0.566537,,,408,
,32.22723826,0.0789883290686274,0.395195,,,408,
,38.73667904,0.0949428407843137,0.372724,,,408,
,48.50084022,0.118874608382353,0.321245,,,408,
,68.02916256,0.166738143529412,0.347759,,,408,
,107.0858073,0.262465213970588,0.354855,,,408,
,185.1990967,0.453919354656863,0.32106,,,408,
